,no,code,name
0,1,091990,셀트리온헬스케어
0,2,028300,에이치엘비
0,3,068760,셀트리온제약
0,4,096530,씨젠
0,5,263750,펄어비스
0,6,035760,CJ ENM
0,7,196170,알테오젠
0,8,032500,케이엠더블유
0,9,253450,스튜디오드래곤
0,10,247540,에코프로비엠
0,11,036490,SK머티리얼즈
0,12,145020,휴젤
0,13,095700,제넥신
0,14,240810,원익IPS
0,15,084990,헬릭스미스
0,16,140410,메지온
0,17,058470,리노공업
0,18,084850,아이티엠반도체
0,19,036830,솔브레인
0,20,078340,컴투스
0,21,034230,파라다이스
0,22,056190,에스에프에이
0,23,041960,코미팜
0,24,098460,고영
0,25,030190,NICE평가정보
0,26,039030,이오테크닉스
0,27,060250,NHN한국사이버결제
0,28,085660,차바이오텍
0,29,214150,클래시스
0,30,178920,SKC코오롱PI
0,31,082270,젬백스
0,32,108230,톱텍
0,33,005290,동진쎄미켐
0,34,064760,티씨케이
0,35,036540,SFA반도체
0,36,200130,콜마비앤에이치
0,37,067630,에이치엘비생명과학
0,38,218410,RFHIC
0,39,086450,동국제약
0,40,025980,아난티
0,41,298380,에이비엘바이오
0,42,086900,메디톡스
0,43,215600,신라젠
0,44,204270,제이앤티씨
0,45,035900,JYP Ent.
0,46,028150,GS홈쇼핑
0,47,000250,삼천당제약
0,48,213420,덕산네오룩스
0,49,078130,국일제지
0,50,046890,서울반도체
0,51,278280,천보
0,52,290650,엘앤씨바이오
0,53,022100,포스코 ICT
0,54,033640,네패스
0,55,268600,셀리버리
0,56,039200,오스코텍
0,57,115450,지트리비앤티
0,58,069080,웹젠
0,59,237690,에스티팜
0,60,035600,KG이니시스
0,61,067160,아프리카TV
0,62,267980,매일유업
0,63,041510,에스엠
0,64,003380,하림지주
0,65,183490,엔지켐생명과학
0,66,151910,나노스
0,67,007390,네이처셀
0,68,052260,SK바이오랜드
0,69,078070,유비쿼스홀딩스
0,70,122870,와이지엔터테인먼트
0,71,097520,엠씨넥스
0,72,108320,실리콘웍스
0,73,230360,에코마케팅
0,74,214370,케어젠
0,75,058820,CMG제약
0,76,032620,유비케어
0,77,090460,비에이치
0,78,141080,레고켐바이오
0,79,066970,엘앤에프
0,80,053800,안랩
0,81,092040,아미코젠
0,82,101490,에스앤에스텍
0,83,032190,다우데이타
0,84,235980,메드팩토
0,85,294140,레몬
0,86,025900,동화기업
0,87,003800,에이스침대
0,88,086520,에코프로
0,89,214450,파마리서치프로덕트
0,90,243070,휴온스
0,91,112040,위메이드
0,92,060720,KH바텍
0,93,083790,크리스탈
0,94,033290,코웰패션
0,95,095660,네오위즈
0,96,031390,녹십자셀
0,97,091700,파트론
0,98,206640,바디텍메드
0,99,029960,코엔텍
0,100,245620,EDGC
