,no,code,name
0,1,005930,삼성전자
0,2,000660,SK하이닉스
0,3,207940,삼성바이오로직스
0,4,035420,NAVER
0,5,005935,삼성전자우
0,6,068270,셀트리온
0,7,051910,LG화학
0,8,006400,삼성SDI
0,9,051900,LG생활건강
0,10,005380,현대차
0,11,035720,카카오
0,12,028260,삼성물산
0,13,012330,현대모비스
0,14,017670,SK텔레콤
0,15,036570,엔씨소프트
0,16,034730,SK
0,17,005490,POSCO
0,18,055550,신한지주
0,19,015760,한국전력
0,20,018260,삼성에스디에스
0,21,105560,KB금융
0,22,000270,기아차
0,23,003550,LG
0,24,033780,KT&G
0,25,090430,아모레퍼시픽
0,26,096770,SK이노베이션
0,27,066570,LG전자
0,28,000810,삼성화재
0,29,009150,삼성전기
0,30,032830,삼성생명
0,31,251270,넷마블
0,32,010950,S-Oil
0,33,086790,하나금융지주
0,34,010130,고려아연
0,35,011170,롯데케미칼
0,36,030200,KT
0,37,032640,LG유플러스
0,38,316140,우리금융지주
0,39,009540,한국조선해양
0,40,035250,강원랜드
0,41,271560,오리온
0,42,024110,기업은행
0,43,069500,KODEX 200
0,44,018880,한온시스템
0,45,002790,아모레G
0,46,180640,한진칼
0,47,021240,코웨이
0,48,097950,CJ제일제당
0,49,088980,맥쿼리인프라
0,50,086280,현대글로비스
